"C:\Program Files\Java\jdk-14.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\lib\idea_rt.jar=61193:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\2020\COS 710\Assignment 3\out\production\Assignment 3" main
[*] Seed: 1602102356604
Gen 1200 best accuracy: 0.7161016949152542
Gen 800 best accuracy: 0.721030042918455
Gen 800 best accuracy: 0.6553191489361702
Gen 1000 best accuracy: 0.6612244897959184
Gen 800 best accuracy: 0.6485355648535565
Gen 1200 best accuracy: 0.7206477732793523
Gen 800 best accuracy: 0.6903765690376569
Gen 800 best accuracy: 0.6428571428571429
Gen 1200 best accuracy: 0.7923728813559322
Gen 1200 best accuracy: 0.7295081967213115
Gen 1200 best accuracy: 0.7068965517241379
Gen 1400 best accuracy: 0.7046413502109705
Gen 1200 best accuracy: 0.6276150627615062
Gen 1200 best accuracy: 0.7076271186440678
Gen 800 best accuracy: 0.7627118644067796
Gen 1400 best accuracy: 0.6720647773279352
Gen 1200 best accuracy: 0.673728813559322
Gen 800 best accuracy: 0.6307053941908713
Gen 1000 best accuracy: 0.6923076923076923
Gen 1400 best accuracy: 0.7124463519313304
Gen 1200 best accuracy: 0.7489361702127659
Gen 800 best accuracy: 0.7851239669421488
Gen 1400 best accuracy: 0.7330508474576272
Gen 400 best accuracy: 0.6778242677824268
Gen 1000 best accuracy: 0.7457627118644068
Gen 800 best accuracy: 0.6666666666666666
Gen 1000 best accuracy: 0.6553191489361702
Gen 1200 best accuracy: 0.6612244897959184
Gen 1600 best accuracy: 0.679324894514768
Gen 1000 best accuracy: 0.721030042918455
Gen 1400 best accuracy: 0.7206477732793523
Gen 1400 best accuracy: 0.7923728813559322
Gen 1400 best accuracy: 0.7068965517241379
Gen 1400 best accuracy: 0.7295081967213115
Gen 1600 best accuracy: 0.6720647773279352
Gen 1400 best accuracy: 0.7076271186440678
Gen 1400 best accuracy: 0.6276150627615062
Gen 1000 best accuracy: 0.6485355648535565
Gen 1000 best accuracy: 0.7447698744769874
Gen 1400 best accuracy: 0.673728813559322
Gen 1600 best accuracy: 0.7124463519313304
Gen 1000 best accuracy: 0.7627118644067796
Gen 1600 best accuracy: 0.7330508474576272
Gen 1000 best accuracy: 0.6428571428571429
Gen 1400 best accuracy: 0.7489361702127659
Gen 1200 best accuracy: 0.6923076923076923
Gen 1800 best accuracy: 0.7088607594936709
Gen 1600 best accuracy: 0.7206477732793523
Gen 1000 best accuracy: 0.7178423236514523
Gen 1200 best accuracy: 0.7457627118644068
Gen 1600 best accuracy: 0.728448275862069
Gen 1600 best accuracy: 0.7923728813559322
Gen 1800 best accuracy: 0.6720647773279352
Gen 1400 best accuracy: 0.6612244897959184
Gen 1000 best accuracy: 0.7851239669421488
Gen 1600 best accuracy: 0.7295081967213115
Gen 1000 best accuracy: 0.6666666666666666
Gen 1200 best accuracy: 0.6553191489361702
Gen 1600 best accuracy: 0.7542372881355932
Gen 1800 best accuracy: 0.7330508474576272
Gen 1600 best accuracy: 0.6820083682008368
Gen 1800 best accuracy: 0.7124463519313304
Gen 1600 best accuracy: 0.673728813559322
Gen 1200 best accuracy: 0.721030042918455
Gen 1600 best accuracy: 0.7489361702127659
Gen 1200 best accuracy: 0.6428571428571429
Gen 1200 best accuracy: 0.7447698744769874
Gen 2000 best accuracy: 0.7341772151898734
Gen 1400 best accuracy: 0.6923076923076923
Gen 1200 best accuracy: 0.7573221757322176
Gen 1200 best accuracy: 0.7627118644067796
Gen 1800 best accuracy: 0.7206477732793523
Gen 2000 best accuracy: 0.6720647773279352
Gen 1800 best accuracy: 0.7923728813559322
Gen 1800 best accuracy: 0.728448275862069
Gen 1800 best accuracy: 0.7581967213114754
Gen 1600 best accuracy: 0.6612244897959184
Gen 2000 best accuracy: 0.7330508474576272
Gen 1800 best accuracy: 0.7669491525423728
Gen 2000 best accuracy: 0.7124463519313304
Gen 1800 best accuracy: 0.7196652719665272
Gen 1400 best accuracy: 0.7457627118644068
Gen 1200 best accuracy: 0.7178423236514523
Gen 1800 best accuracy: 0.673728813559322
Gen 1400 best accuracy: 0.6851063829787234
Gen 1800 best accuracy: 0.7489361702127659
Gen 2200 best accuracy: 0.7341772151898734
Gen 1200 best accuracy: 0.6666666666666666
Gen 1400 best accuracy: 0.721030042918455
Gen 1200 best accuracy: 0.7851239669421488
Gen 1400 best accuracy: 0.7573221757322176
Gen 2200 best accuracy: 0.6720647773279352
Gen 1400 best accuracy: 0.6848739495798319
Gen 2000 best accuracy: 0.7206477732793523
Gen 600 best accuracy: 0.6778242677824268
Gen 2000 best accuracy: 0.7923728813559322
Gen 2000 best accuracy: 0.728448275862069
Gen 1400 best accuracy: 0.7627118644067796
Gen 1600 best accuracy: 0.6923076923076923
Gen 1400 best accuracy: 0.7573221757322176
Gen 2000 best accuracy: 0.7581967213114754
Gen 2200 best accuracy: 0.7330508474576272
Gen 2200 best accuracy: 0.7296137339055794
Gen 2000 best accuracy: 0.7669491525423728
Gen 2000 best accuracy: 0.7196652719665272
Gen 1800 best accuracy: 0.6612244897959184
Gen 2000 best accuracy: 0.673728813559322
Gen 2400 best accuracy: 0.7215189873417721
Gen 2000 best accuracy: 0.7489361702127659
Gen 2400 best accuracy: 0.6720647773279352
Gen 1600 best accuracy: 0.7457627118644068
Gen 1400 best accuracy: 0.7261410788381742
Gen 1600 best accuracy: 0.6893617021276596
Gen 1600 best accuracy: 0.721030042918455
Gen 2200 best accuracy: 0.7923728813559322
Gen 2200 best accuracy: 0.7206477732793523
Gen 1600 best accuracy: 0.7447698744769874
Gen 1400 best accuracy: 0.7851239669421488
Gen 2200 best accuracy: 0.728448275862069
Gen 2400 best accuracy: 0.7330508474576272
Gen 2400 best accuracy: 0.7296137339055794
Gen 2200 best accuracy: 0.7581967213114754
Gen 1400 best accuracy: 0.6666666666666666
Gen 1800 best accuracy: 0.6923076923076923
Gen 2200 best accuracy: 0.7669491525423728
Gen 1600 best accuracy: 0.6848739495798319
Gen 2200 best accuracy: 0.7489539748953975
Gen 2600 best accuracy: 0.7341772151898734
Gen 2200 best accuracy: 0.673728813559322
Gen 1600 best accuracy: 0.7573221757322176
Gen 2000 best accuracy: 0.6612244897959184
Gen 1600 best accuracy: 0.7627118644067796
Gen 2600 best accuracy: 0.6720647773279352
Gen 2200 best accuracy: 0.7489361702127659
Gen 2400 best accuracy: 0.7449392712550608
Gen 2400 best accuracy: 0.728448275862069
Gen 2600 best accuracy: 0.7296137339055794
Gen 2400 best accuracy: 0.7923728813559322
Gen 2600 best accuracy: 0.7330508474576272
Gen 1800 best accuracy: 0.7457627118644068
Gen 2400 best accuracy: 0.7581967213114754
Gen 1600 best accuracy: 0.7261410788381742
Gen 1800 best accuracy: 0.721030042918455
Gen 2800 best accuracy: 0.7215189873417721
Gen 1800 best accuracy: 0.7698744769874477
Gen 2800 best accuracy: 0.6720647773279352
Gen 2400 best accuracy: 0.7669491525423728
Gen 1800 best accuracy: 0.6893617021276596
Gen 2400 best accuracy: 0.7489539748953975
Gen 2000 best accuracy: 0.6923076923076923
Gen 2400 best accuracy: 0.673728813559322
Gen 1800 best accuracy: 0.7573221757322176
Gen 1600 best accuracy: 0.7851239669421488
Gen 1800 best accuracy: 0.6848739495798319
Gen 2400 best accuracy: 0.7489361702127659
Gen 2200 best accuracy: 0.6612244897959184
Gen 1600 best accuracy: 0.6666666666666666
Gen 1800 best accuracy: 0.7627118644067796
Gen 2600 best accuracy: 0.7449392712550608
Gen 2800 best accuracy: 0.7296137339055794
Gen 2800 best accuracy: 0.7330508474576272
Gen 2600 best accuracy: 0.728448275862069
Gen 800 best accuracy: 0.6778242677824268
Gen 3000 best accuracy: 0.7088607594936709
Gen 2600 best accuracy: 0.7923728813559322
Gen 2600 best accuracy: 0.7581967213114754
Gen 3000 best accuracy: 0.6720647773279352
Gen 2600 best accuracy: 0.7669491525423728
Gen 2600 best accuracy: 0.7489539748953975
Gen 2000 best accuracy: 0.8008474576271186
Gen 2600 best accuracy: 0.673728813559322
Gen 2000 best accuracy: 0.721030042918455
Gen 1800 best accuracy: 0.7261410788381742
Gen 2000 best accuracy: 0.6893617021276596
Gen 2600 best accuracy: 0.7489361702127659
Gen 2000 best accuracy: 0.7698744769874477
Gen 2200 best accuracy: 0.7246963562753036
Gen 2400 best accuracy: 0.6612244897959184
Gen 3000 best accuracy: 0.7296137339055794
Gen 2000 best accuracy: 0.7573221757322176
Gen 2000 best accuracy: 0.6848739495798319
Gen 2800 best accuracy: 0.7449392712550608
Gen 3000 best accuracy: 0.7330508474576272
Gen 3200 best accuracy: 0.7088607594936709
Gen 2800 best accuracy: 0.728448275862069
Gen 3200 best accuracy: 0.6720647773279352
Gen 2800 best accuracy: 0.7923728813559322
Gen 1800 best accuracy: 0.7851239669421488
Gen 2800 best accuracy: 0.7581967213114754
Gen 2000 best accuracy: 0.7627118644067796
Gen 1800 best accuracy: 0.6666666666666666
Gen 2800 best accuracy: 0.7669491525423728
Gen 2800 best accuracy: 0.673728813559322
Gen 2800 best accuracy: 0.7489539748953975
Gen 2800 best accuracy: 0.7702127659574468
Gen 3200 best accuracy: 0.7296137339055794
Gen 2200 best accuracy: 0.7381974248927039
Gen 2200 best accuracy: 0.6893617021276596
Gen 3000 best accuracy: 0.7449392712550608
Gen 3400 best accuracy: 0.7088607594936709
Gen 3200 best accuracy: 0.7330508474576272
Gen 2200 best accuracy: 0.8008474576271186
Gen 2600 best accuracy: 0.6693877551020408
Gen 2000 best accuracy: 0.7261410788381742
Gen 3400 best accuracy: 0.6720647773279352
Gen 2400 best accuracy: 0.7530364372469636
Gen 3000 best accuracy: 0.7923728813559322
Gen 2200 best accuracy: 0.6848739495798319
Gen 3000 best accuracy: 0.7581967213114754
Gen 3000 best accuracy: 0.728448275862069
Gen 2200 best accuracy: 0.7698744769874477
Gen 2200 best accuracy: 0.7573221757322176
Gen 3000 best accuracy: 0.7489539748953975
Gen 3000 best accuracy: 0.7669491525423728
Gen 3000 best accuracy: 0.673728813559322
Gen 3000 best accuracy: 0.7702127659574468
Gen 3400 best accuracy: 0.7467811158798283
Gen 3600 best accuracy: 0.7088607594936709
Gen 2200 best accuracy: 0.7627118644067796
Gen 3400 best accuracy: 0.7330508474576272
Gen 2000 best accuracy: 0.7208333333333333
Gen 3600 best accuracy: 0.6720647773279352
Gen 2000 best accuracy: 0.7851239669421488
Gen 3200 best accuracy: 0.7449392712550608
Gen 2400 best accuracy: 0.7381974248927039
Gen 2400 best accuracy: 0.8008474576271186
Gen 2800 best accuracy: 0.6693877551020408
Gen 3200 best accuracy: 0.728448275862069
Gen 2200 best accuracy: 0.7261410788381742
Gen 3200 best accuracy: 0.7923728813559322
Gen 2400 best accuracy: 0.7191489361702128
Gen 3200 best accuracy: 0.7704918032786885
Gen 2600 best accuracy: 0.7530364372469636
Gen 1000 best accuracy: 0.7071129707112971
Gen 2400 best accuracy: 0.6848739495798319
Gen 2400 best accuracy: 0.7698744769874477
Gen 3200 best accuracy: 0.7489539748953975
Gen 3200 best accuracy: 0.673728813559322
Gen 3200 best accuracy: 0.7702127659574468
Gen 3800 best accuracy: 0.7088607594936709
Gen 3200 best accuracy: 0.7669491525423728
Gen 2400 best accuracy: 0.7782426778242678
Gen 3600 best accuracy: 0.7682403433476395
Gen 3600 best accuracy: 0.7330508474576272
Gen 3800 best accuracy: 0.6720647773279352
Gen 3400 best accuracy: 0.7449392712550608
Gen 2400 best accuracy: 0.7627118644067796
Gen 3400 best accuracy: 0.728448275862069
Gen 3400 best accuracy: 0.7923728813559322
Gen 2200 best accuracy: 0.7208333333333333
Gen 3400 best accuracy: 0.7581967213114754
Gen 2200 best accuracy: 0.7851239669421488
Gen 3000 best accuracy: 0.6693877551020408
