"C:\Program Files\Java\jdk-14.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\lib\idea_rt.jar=60291:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\2020\COS 710\Assignment 3\out\production\Assignment 3" main
[*] Seed: 1602097142198
Gen 1200 best accuracy: 0.6652719665271967
Gen 1200 best accuracy: 0.7468354430379747
Gen 1200 best accuracy: 0.41975308641975306
Gen 1200 best accuracy: 0.47639484978540775
Gen 1200 best accuracy: 0.5485232067510548
Gen 1200 best accuracy: 0.6331877729257642
Gen 1200 best accuracy: 0.6260162601626016
Gen 1200 best accuracy: 0.46613545816733065
Gen 800 best accuracy: 0.3574468085106383
Gen 800 best accuracy: 0.679324894514768
Gen 1200 best accuracy: 0.6324786324786325
Gen 1200 best accuracy: 0.6512605042016807
Gen 1200 best accuracy: 0.6130434782608696
Gen 1200 best accuracy: 0.6681614349775785
Gen 800 best accuracy: 0.7383966244725738
Gen 1400 best accuracy: 0.6347826086956522
Gen 800 best accuracy: 0.6610878661087866
Gen 1400 best accuracy: 0.6652719665271967
Gen 1400 best accuracy: 0.7468354430379747
Gen 1400 best accuracy: 0.41975308641975306
Gen 800 best accuracy: 0.5932203389830508
Gen 1400 best accuracy: 0.5708154506437768
Gen 800 best accuracy: 0.47107438016528924
Gen 800 best accuracy: 0.7383966244725738
Gen 1400 best accuracy: 0.6331877729257642
Gen 1400 best accuracy: 0.5485232067510548
Gen 800 best accuracy: 0.6967213114754098
Gen 800 best accuracy: 0.6297872340425532
Gen 1400 best accuracy: 0.6260162601626016
Gen 800 best accuracy: 0.6072874493927125
Gen 1400 best accuracy: 0.6512605042016807
Gen 1400 best accuracy: 0.5537848605577689
Gen 800 best accuracy: 0.6538461538461539
Gen 1400 best accuracy: 0.6130434782608696
Gen 1400 best accuracy: 0.6591928251121076
Gen 1400 best accuracy: 0.6324786324786325
Gen 800 best accuracy: 0.5983606557377049
Gen 1600 best accuracy: 0.6347826086956522
Gen 1600 best accuracy: 0.6652719665271967
Gen 1000 best accuracy: 0.3574468085106383
Gen 1600 best accuracy: 0.48559670781893005
Gen 1600 best accuracy: 0.7468354430379747
Gen 1600 best accuracy: 0.5708154506437768
Gen 1000 best accuracy: 0.679324894514768
Gen 1600 best accuracy: 0.6331877729257642
Gen 1600 best accuracy: 0.5485232067510548
Gen 1600 best accuracy: 0.6260162601626016
Gen 1000 best accuracy: 0.7383966244725738
Gen 1600 best accuracy: 0.6512605042016807
Gen 1000 best accuracy: 0.6610878661087866
Gen 1600 best accuracy: 0.5896414342629482
Gen 1000 best accuracy: 0.5932203389830508
Gen 1600 best accuracy: 0.6130434782608696
Gen 1600 best accuracy: 0.6591928251121076
Gen 1600 best accuracy: 0.6324786324786325
Gen 1000 best accuracy: 0.47107438016528924
Gen 1800 best accuracy: 0.6347826086956522
Gen 1800 best accuracy: 0.6652719665271967
Gen 1800 best accuracy: 0.7468354430379747
Gen 1000 best accuracy: 0.6297872340425532
Gen 1000 best accuracy: 0.6967213114754098
Gen 1000 best accuracy: 0.6072874493927125
Gen 1000 best accuracy: 0.7426160337552743
Gen 1800 best accuracy: 0.48559670781893005
Gen 1800 best accuracy: 0.5708154506437768
Gen 1800 best accuracy: 0.6331877729257642
Gen 1000 best accuracy: 0.6538461538461539
Gen 1800 best accuracy: 0.5485232067510548
Gen 1800 best accuracy: 0.6260162601626016
Gen 1200 best accuracy: 0.3574468085106383
Gen 1200 best accuracy: 0.679324894514768
Gen 1800 best accuracy: 0.6512605042016807
Gen 1800 best accuracy: 0.5936254980079682
Gen 1800 best accuracy: 0.6695652173913044
Gen 1000 best accuracy: 0.639344262295082
Gen 1800 best accuracy: 0.6324786324786325
Gen 1800 best accuracy: 0.6591928251121076
Gen 2000 best accuracy: 0.6347826086956522
Gen 2000 best accuracy: 0.7154811715481172
Gen 2000 best accuracy: 0.7468354430379747
Gen 1200 best accuracy: 0.7383966244725738
Gen 2000 best accuracy: 0.48559670781893005
Gen 2000 best accuracy: 0.5708154506437768
Gen 1200 best accuracy: 0.6610878661087866
Gen 2000 best accuracy: 0.6331877729257642
Gen 1200 best accuracy: 0.614406779661017
Gen 2000 best accuracy: 0.5485232067510548
Gen 1200 best accuracy: 0.5165289256198347
Gen 2000 best accuracy: 0.6260162601626016
Gen 1200 best accuracy: 0.7383966244725738
Gen 1200 best accuracy: 0.6297872340425532
Gen 1200 best accuracy: 0.6967213114754098
Gen 1200 best accuracy: 0.6680161943319838
Gen 2000 best accuracy: 0.6512605042016807
Gen 2000 best accuracy: 0.6695652173913044
Gen 2000 best accuracy: 0.5936254980079682
Gen 2200 best accuracy: 0.6347826086956522
Gen 2200 best accuracy: 0.7154811715481172
Gen 2000 best accuracy: 0.6324786324786325
Gen 1200 best accuracy: 0.6538461538461539
Gen 2200 best accuracy: 0.7468354430379747
Gen 2200 best accuracy: 0.48559670781893005
Gen 2000 best accuracy: 0.6995515695067265
Gen 1400 best accuracy: 0.41702127659574467
Gen 2200 best accuracy: 0.5708154506437768
Gen 2200 best accuracy: 0.6331877729257642
Gen 1400 best accuracy: 0.679324894514768
Gen 2200 best accuracy: 0.5485232067510548
Gen 1200 best accuracy: 0.639344262295082
Gen 2200 best accuracy: 0.6260162601626016
Gen 1400 best accuracy: 0.7383966244725738
Gen 1400 best accuracy: 0.6610878661087866
Gen 2400 best accuracy: 0.7154811715481172
Gen 2200 best accuracy: 0.6512605042016807
Gen 2400 best accuracy: 0.6347826086956522
Gen 2200 best accuracy: 0.6695652173913044
Gen 2200 best accuracy: 0.6324786324786325
Gen 2200 best accuracy: 0.5936254980079682
Gen 2400 best accuracy: 0.7468354430379747
Gen 1400 best accuracy: 0.6440677966101694
Gen 2400 best accuracy: 0.48559670781893005
Gen 1400 best accuracy: 0.5165289256198347
Gen 2200 best accuracy: 0.6995515695067265
Gen 2400 best accuracy: 0.5708154506437768
Gen 2400 best accuracy: 0.6331877729257642
Gen 1400 best accuracy: 0.7383966244725738
Gen 1400 best accuracy: 0.6720647773279352
Gen 1400 best accuracy: 0.6297872340425532
Gen 1400 best accuracy: 0.6967213114754098
Gen 2400 best accuracy: 0.5485232067510548
Gen 2400 best accuracy: 0.6260162601626016
Gen 1400 best accuracy: 0.6538461538461539
Gen 1600 best accuracy: 0.5361702127659574
Gen 2600 best accuracy: 0.7154811715481172
Gen 2600 best accuracy: 0.6869565217391305
Gen 2600 best accuracy: 0.7763713080168776
Gen 1600 best accuracy: 0.679324894514768
Gen 2400 best accuracy: 0.6512605042016807
Gen 2400 best accuracy: 0.5936254980079682
Gen 2400 best accuracy: 0.6324786324786325
Gen 2400 best accuracy: 0.6695652173913044
Gen 2600 best accuracy: 0.48559670781893005
Gen 2600 best accuracy: 0.5708154506437768
Gen 2400 best accuracy: 0.6995515695067265
Gen 2600 best accuracy: 0.6331877729257642
Gen 1600 best accuracy: 0.7383966244725738
Gen 1400 best accuracy: 0.639344262295082
Gen 2600 best accuracy: 0.5485232067510548
Gen 1600 best accuracy: 0.6610878661087866
Gen 2600 best accuracy: 0.6260162601626016
Gen 1600 best accuracy: 0.690677966101695
Gen 2800 best accuracy: 0.7154811715481172
Gen 1600 best accuracy: 0.7383966244725738
Gen 1600 best accuracy: 0.5165289256198347
Gen 2800 best accuracy: 0.6869565217391305
Gen 2800 best accuracy: 0.7763713080168776
Gen 2600 best accuracy: 0.6512605042016807
Gen 1600 best accuracy: 0.6297872340425532
Gen 2600 best accuracy: 0.6695652173913044
Gen 1600 best accuracy: 0.7131147540983607
Gen 2800 best accuracy: 0.5308641975308642
Gen 2600 best accuracy: 0.6324786324786325
Gen 2800 best accuracy: 0.5708154506437768
Gen 2600 best accuracy: 0.5936254980079682
Gen 1600 best accuracy: 0.6720647773279352
Gen 2800 best accuracy: 0.6331877729257642
Gen 2600 best accuracy: 0.6995515695067265
Gen 1800 best accuracy: 0.5361702127659574
Gen 2800 best accuracy: 0.5485232067510548
Gen 1600 best accuracy: 0.6581196581196581
Gen 1800 best accuracy: 0.679324894514768
Gen 2800 best accuracy: 0.6260162601626016
Gen 3000 best accuracy: 0.7154811715481172
Gen 3000 best accuracy: 0.6869565217391305
Gen 3000 best accuracy: 0.7763713080168776
Gen 1800 best accuracy: 0.7383966244725738
Gen 2800 best accuracy: 0.6695652173913044
Gen 3000 best accuracy: 0.5308641975308642
Gen 2800 best accuracy: 0.6512605042016807
Gen 2800 best accuracy: 0.6324786324786325
Gen 3000 best accuracy: 0.6331877729257642
Gen 3000 best accuracy: 0.6351931330472103
Gen 2800 best accuracy: 0.5936254980079682
Gen 2800 best accuracy: 0.43946188340807174
Gen 1600 best accuracy: 0.639344262295082
Gen 3000 best accuracy: 0.5485232067510548
